"Seller Group","Supplier","Date","Reference","Customer code","Customer name","Physical_Address1","Physical_Address2","Physical_Address3","Physical_Address4","Deliver1","Deliver2","Deliver3","Deliver4","Telephone","Product code","Product description","Quantity","Value","Rep"
"Spar","Oshee",29/01/2026,"IN-431626","P868","SPAR WARMBAD (7 DAE EFT)","P. O. Box 564","Bela Bela","","0480","53 Chris Hani Drive","","Bela Bela","0480","014 736 2908 LIZE","BUN001","Bundaberg Ginger Beer 24x375ml",2,920,9
"Spar","Energy Drinks",29/01/2026,"IN-431626","P868","SPAR WARMBAD (7 DAE EFT)","P. O. Box 564","Bela Bela","","0480","53 Chris Hani Drive","","Bela Bela","0480","014 736 2908 LIZE","SWI012","Switch G/Fruit Naartjie VIT C 24x500ml",15,2765.22,9
"ALL Other","Waterberg",29/01/2026,"IN-431627","P3900","MADELEINE GROBLER","19 RISSIK STREET","(MAZDA BUILDING)","","POLOKWANE","19 RISSIK STREET","POLOKWANE","","","071 961 6645","W130","Vuka Still 24x500ml",2,182.61,1
"ALL Other","Squeeze Mee",29/01/2026,"IN-431628","P3919","NESLION PRODUCTION  (CAD)","P.O. BOX 336","STEELPOORT","","","SHOP 10 BLOCK 5","STEELPOORT SHOPPING CENTRE","STEELPOORT","LIMPOPO","013 230 9672","SQ002","Squeeze-Mee Strawberry 40x130ml",1,298.70,17
"ALL Other","Squeeze Mee",29/01/2026,"IN-431628","P3919","NESLION PRODUCTION  (CAD)","P.O. BOX 336","STEELPOORT","","","SHOP 10 BLOCK 5","STEELPOORT SHOPPING CENTRE","STEELPOORT","LIMPOPO","013 230 9672","SQ003","Squeeze-Mee Bubblegum 40x130ml",1,298.70,17
"ALL Other","Novelties",29/01/2026,"IN-431628","P3919","NESLION PRODUCTION  (CAD)","P.O. BOX 336","STEELPOORT","","","SHOP 10 BLOCK 5","STEELPOORT SHOPPING CENTRE","STEELPOORT","LIMPOPO","013 230 9672","TROPPOP40","Troppi Pops Pea/Apri 4x(10x200ml)",3,313.04,17
"ALL Other","Novelties",29/01/2026,"IN-431628","P3919","NESLION PRODUCTION  (CAD)","P.O. BOX 336","STEELPOORT","","","SHOP 10 BLOCK 5","STEELPOORT SHOPPING CENTRE","STEELPOORT","LIMPOPO","013 230 9672","TROPPOP41","Troppi Pops Litchi 4x(10x200ml)",3,313.04,17
"ALL Other","Novelties",29/01/2026,"IN-431628","P3919","NESLION PRODUCTION  (CAD)","P.O. BOX 336","STEELPOORT","","","SHOP 10 BLOCK 5","STEELPOORT SHOPPING CENTRE","STEELPOORT","LIMPOPO","013 230 9672","TROPPOP42","Troppi Pops Mango 4x(10x200ml)",3,313.04,17
"ALL Other","Novelties",29/01/2026,"IN-431628","P3919","NESLION PRODUCTION  (CAD)","P.O. BOX 336","STEELPOORT","","","SHOP 10 BLOCK 5","STEELPOORT SHOPPING CENTRE","STEELPOORT","LIMPOPO","013 230 9672","TROPPOP43","Troppi Pops Guava 4x(10x200ml)",3,313.04,17
"Spar","Energy Drinks",29/01/2026,"IN-431629","P1647","SPAR LOWVELD GROUP (602086)(30 DS - I)","P.O. Box 33","Nelspruit","1200","","","","","","013 231 8156","SWI012","Switch G/Fruit Naartjie VIT C 24x500ml",1,192.17,17
"Spar","Energy Drinks",29/01/2026,"IN-431629","P1647","SPAR LOWVELD GROUP (602086)(30 DS - I)","P.O. Box 33","Nelspruit","1200","","","","","","013 231 8156","SWI017","Switch Vit C Orange  24x500ml",1,192.17,17
"Spar","Energy Drinks",29/01/2026,"IN-431629","P1647","SPAR LOWVELD GROUP (602086)(30 DS - I)","P.O. Box 33","Nelspruit","1200","","","","","","013 231 8156","SWI045","Switch Vita C Goji berry/Starfruit 24x500ml",1,192.17,17
"Spar","Energy Drinks",29/01/2026,"IN-431629","P1647","SPAR LOWVELD GROUP (602086)(30 DS - I)","P.O. Box 33","Nelspruit","1200","","","","","","013 231 8156","SWI047","Switch Pink Lemonade 24x500ml",1,192.17,17
"Spar","Squeeze Mee",29/01/2026,"IN-431630","SP067","","SPAR NORTHRAND (11691)","P.O.BOX 528","CLAYVILLE","OLIFANTSFONTEIN","SPAR EXPRESS AT MOOKETSI (31102)","BUFFELSBERG CENTRE","1 MAIN ROAD LIMPOPO","VAT: 4260101482","","SQ001","Squeeze-Mee Chocolate 40x130ml",1,298.67,18
"Spar","Squeeze Mee",29/01/2026,"IN-431630","SP067","","SPAR NORTHRAND (11691)","P.O.BOX 528","CLAYVILLE","OLIFANTSFONTEIN","SPAR EXPRESS AT MOOKETSI (31102)","BUFFELSBERG CENTRE","1 MAIN ROAD LIMPOPO","VAT: 4260101482","","SQ002","Squeeze-Mee Strawberry 40x130ml",1,298.67,18
"Spar","Squeeze Mee",29/01/2026,"IN-431630","SP067","","SPAR NORTHRAND (11691)","P.O.BOX 528","CLAYVILLE","OLIFANTSFONTEIN","SPAR EXPRESS AT MOOKETSI (31102)","BUFFELSBERG CENTRE","1 MAIN ROAD LIMPOPO","VAT: 4260101482","","SQ003","Squeeze-Mee Bubblegum 40x130ml",1,298.67,18
"Spar","Squeeze Mee",29/01/2026,"IN-431630","SP067","","SPAR NORTHRAND (11691)","P.O.BOX 528","CLAYVILLE","OLIFANTSFONTEIN","SPAR EXPRESS AT MOOKETSI (31102)","BUFFELSBERG CENTRE","1 MAIN ROAD LIMPOPO","VAT: 4260101482","","SQ004","Squeeze-Mee Vanilla 40x130ml",1,298.67,18
"ALL Other","Novelties",29/01/2026,"IN-431631","P424","ELTZUR (PTY)LTD (CAD)","POSTNET SUITE 12","P/BAG X20097","LYDENBURG","","STEELPOORT PRIMARY SCHOOL KIOSK","STEELPOORT","","","082 921 1162","TROPPOP41","Troppi Pops Litchi 4x(10x200ml)",3,313.04,17
"ALL Other","Novelties",29/01/2026,"IN-431631","P424","ELTZUR (PTY)LTD (CAD)","POSTNET SUITE 12","P/BAG X20097","LYDENBURG","","STEELPOORT PRIMARY SCHOOL KIOSK","STEELPOORT","","","082 921 1162","TROPPOP42","Troppi Pops Mango 4x(10x200ml)",1,104.35,17
"ALL Other","Sweets",29/01/2026,"IN-431632","P3982","BA TAU INVESTMENTS (CAD)","6 KERK STR","POLOKWANE","","","C/O D2537&D4140 FRAKFAT FARM","BURGERSFORT","","","082 424 3251","B012874","Maynards Yoghurt Gums 24x60g NEW",1,258.13,17
"ALL Other","Sweets",29/01/2026,"IN-431632","P3982","BA TAU INVESTMENTS (CAD)","6 KERK STR","POLOKWANE","","","C/O D2537&D4140 FRAKFAT FARM","BURGERSFORT","","","082 424 3251","B3155","Beacon Slab Milk 12x80g",1,175.30,17
"ALL Other","Sweets",29/01/2026,"IN-431632","P3982","BA TAU INVESTMENTS (CAD)","6 KERK STR","POLOKWANE","","","C/O D2537&D4140 FRAKFAT FARM","BURGERSFORT","","","082 424 3251","B3156","Beacon Slab Hazel Heaven 12x80g",1,175.30,17
"ALL Other","Diplomat",29/01/2026,"IN-431632","P3982","BA TAU INVESTMENTS (CAD)","6 KERK STR","POLOKWANE","","","C/O D2537&D4140 FRAKFAT FARM","BURGERSFORT","","","082 424 3251","C677146","Cadbury Mint Crisp Slab 80g 1x12",1,235.73,17
"ALL Other","Aquelle",29/01/2026,"IN-431633","P3982","BA TAU INVESTMENTS (CAD)","6 KERK STR","POLOKWANE","","","C/O D2537&D4140 FRAKFAT FARM","BURGERSFORT","","","082 424 3251","QU702","aQuelle Naartjie 6x1.5lt",1,79.80,17
"ALL Other","Squeeze Mee",29/01/2026,"IN-431634","P321","CHEAP CHEAP (3%) (7 D -I)","P.O Box 132","Burgersfort","","1150","38 Dirk Winterbach Street","","Burgersfort","1150","013 231 7764","SQ001","Squeeze-Mee Chocolate 40x130ml",1,298.70,17
"ALL Other","Squeeze Mee",29/01/2026,"IN-431634","P321","CHEAP CHEAP (3%) (7 D -I)","P.O Box 132","Burgersfort","","1150","38 Dirk Winterbach Street","","Burgersfort","1150","013 231 7764","SQ002","Squeeze-Mee Strawberry 40x130ml",1,298.70,17
"ALL Other","Squeeze Mee",29/01/2026,"IN-431634","P321","CHEAP CHEAP (3%) (7 D -I)","P.O Box 132","Burgersfort","","1150","38 Dirk Winterbach Street","","Burgersfort","1150","013 231 7764","SQ003","Squeeze-Mee Bubblegum 40x130ml",1,298.70,17
"ALL Other","Squeeze Mee",29/01/2026,"IN-431634","P321","CHEAP CHEAP (3%) (7 D -I)","P.O Box 132","Burgersfort","","1150","38 Dirk Winterbach Street","","Burgersfort","1150","013 231 7764","SQ004","Squeeze-Mee Vanilla 40x130ml",1,298.70,17
"ALL Other","Squeeze Mee",29/01/2026,"IN-431634","P321","CHEAP CHEAP (3%) (7 D -I)","P.O Box 132","Burgersfort","","1150","38 Dirk Winterbach Street","","Burgersfort","1150","013 231 7764","SQ011","Squeeze-Mee Tof/Car 40x130ml",1,298.70,17
"Spar","Squeeze Mee",29/01/2026,"IN-431635","P1647","SPAR LOWVELD GROUP (602086)(30 DS - I)","P.O. Box 33","Nelspruit","1200","","","","","","013 231 8156","SQ001","Squeeze-Mee Chocolate 40x130ml",2,573.92,17
"Spar","Squeeze Mee",29/01/2026,"IN-431635","P1647","SPAR LOWVELD GROUP (602086)(30 DS - I)","P.O. Box 33","Nelspruit","1200","","","","","","013 231 8156","SQ002","Squeeze-Mee Strawberry 40x130ml",1,286.96,17
"Spar","Squeeze Mee",29/01/2026,"IN-431635","P1647","SPAR LOWVELD GROUP (602086)(30 DS - I)","P.O. Box 33","Nelspruit","1200","","","","","","013 231 8156","SQ003","Squeeze-Mee Bubblegum 40x130ml",1,286.96,17
"Spar","Squeeze Mee",29/01/2026,"IN-431635","P1647","SPAR LOWVELD GROUP (602086)(30 DS - I)","P.O. Box 33","Nelspruit","1200","","","","","","013 231 8156","SQ004","Squeeze-Mee Vanilla 40x130ml",2,573.92,17
"Spar","Squeeze Mee",29/01/2026,"IN-431635","P1647","SPAR LOWVELD GROUP (602086)(30 DS - I)","P.O. Box 33","Nelspruit","1200","","","","","","013 231 8156","SQ011","Squeeze-Mee Tof/Car 40x130ml",1,286.96,17
"ALL Other","Squeeze Mee",29/01/2026,"IN-431636","P3005","COD","","","","","","","","","","SQ001","Squeeze-Mee Chocolate 40x130ml",1,260.87,31
