SellerID,GUID,Date,Reference,Customer_Code,Name,Physical_Address1,Physical_Address2,Physical_Address3,Physical_Address4,Telephone,Stock_Code,Description,Price_Ex_Vat,Quantity,RepCode,ProductBarCodeID
VILJOEN,0,2026-01-30,CRN23869,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,B012871,Maynards Orig W/Gums Disp 24x60G NEW,258.0,-1,42,
VILJOEN,0,2026-01-30,CRN23869,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,B012872,Maynards Jelly Jerseys 24x60G NEW,258.0,-1,42,
VILJOEN,0,2026-01-30,CRN23869,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,B012873,Maynards Soft Fruity Gums 24x60g NEW,258.0,-1,42,
VILJOEN,0,2026-01-30,CRN23869,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,B1957,Jungle Energy Bar Berries 30's,292.0,-1,42,
VILJOEN,0,2026-01-30,CRN23869,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,B2341,Jungle Energy Bar Milk Chocolate 30's,292.0,-1,42,
VILJOEN,0,2026-01-30,CRN23869,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,B3386,Maynards Fruit Pastilles 24x60g,258.0,-1,42,
VILJOEN,0,2026-01-30,CRN23869,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,B8531,Wilson XXX Lozengers Musk 48x31.2g,187.0,-1,42,
VILJOEN,0,2026-01-30,CRN23869,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,C3408,Cadbury PS Caramilk Large 40x48g,453.0,-1,42,
VILJOEN,0,2026-01-30,CRN23869,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,C607316,Halls Cherry 18,169.0,-1,42,
VILJOEN,0,2026-01-30,CRN23869,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,C607336,Halls Extra Strong 18,169.0,-1,42,
VILJOEN,0,2026-01-30,CRN23869,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,FR070,Fruitella Strawberry 24's,197.0,-1,42,
VILJOEN,0,2026-01-30,CRN23869,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,FR071,Fruitella Grape/Lemon 24's,197.0,-1,42,
VILJOEN,0,2026-01-30,CRN23869,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,FR072,Fruitella Banana/Straw 24's,197.0,-1,42,
VILJOEN,0,2026-01-30,CRN23869,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,MAR201,Twix Bars 25x50g,329.0,-1,42,
VILJOEN,0,2026-01-30,CRN23869,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,MEN001,Mentos Rolls Spearmint 40,313.0,-1,42,
VILJOEN,0,2026-01-30,CRN23869,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,MEN003,Mentos Rolls S/berry 40,313.0,-1,42,
VILJOEN,0,2026-01-30,CRN23869,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,MEN004,Mentos Rolls Fruit 40,313.0,-1,42,
VILJOEN,0,2026-01-30,CRN23869,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,MEN005,Mentos Rolls Grape 40,313.0,-1,42,
VILJOEN,0,2026-01-30,CRN23869,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,MEN007,Mentos Rolls Rainbow 40,313.0,-1,42,
VILJOEN,0,2026-01-30,CRN23869,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,MEN009,Mentos Discovery Roll 40,313.0,-1,42,
VILJOEN,0,2026-01-30,CRN23869,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,MEN080,Mentos Incr Chew Stick Straw 10pc 12X47G,120.0,-1,42,
VILJOEN,0,2026-01-30,CRN23869,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,MEN081,Mentos Incr Chew Stick Pas/Fruit 10pc 12X47G,120.0,-1,42,
VILJOEN,0,2026-01-30,CRN23869,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,ZT209,Taki S/P Chop Stix Chilli Bag 20X60G,546.0,-1,42,
VILJOEN,0,2026-01-30,IN-431714,S80,THOMAS MAKHUBELA,,,,,079 868 4922,SWI001,Switch Original 24x500ml,184.35,1,30,
VILJOEN,0,2026-01-30,IN-431714,S80,THOMAS MAKHUBELA,,,,,079 868 4922,SWI012,Switch G/Fruit Naartjie VIT C 24x500ml,184.35,1,30,
VILJOEN,0,2026-01-30,IN-431715,P3851,BESMO GARAGE CC (EFT),P.O.BOX 4624,TZANEEN,,109 ANTIMOON STREET GRAVELOTTE,015 318 4462,SJ206,Snack a Juice Litchi S/C 42% 24x500ml,354.24,1,43,
VILJOEN,0,2026-01-30,IN-431715,P3851,BESMO GARAGE CC (EFT),P.O.BOX 4624,TZANEEN,,109 ANTIMOON STREET GRAVELOTTE,015 318 4462,SJ208,Snack a Juice Cranb S/C 100% 24x500ml,354.24,1,43,
VILJOEN,0,2026-01-30,IN-431715,P3851,BESMO GARAGE CC (EFT),P.O.BOX 4624,TZANEEN,,109 ANTIMOON STREET GRAVELOTTE,015 318 4462,SJ316,Snack a Juice Cranb 6x2lit,253.5,1,43,
VILJOEN,0,2026-01-30,IN-431716,P1374,SASOL AGATHA  7D,P.O. Box 463,,Tzaneen,Agatha Street  Tzaneen 0850,015 307 7776/4408,SJ200,SJ Ass S/C 24x500ml,356.74,1,18,
VILJOEN,0,2026-01-30,IN-431717,P400,SKOON BEGIN BOERDERY (PTY)TLD,SKOON BEGIN BOERDERY (PTY)TLD,PRETORUIS 147.,THABO MBEKI RYLAAN  MOKOPANE,147 Pretoruis Street Cnr Geyser Street Mokopane 0600,015 491  4555,SJ200,SJ Ass S/C 24x500ml,356.74,2,8,
VILJOEN,0,2026-01-30,IN-431718,P2501,PHARMABOND (Pty) LtD t/a MULDOK PHARMACY,(7 D - I),P.O. Box 100,Mokopane,75 Thabo Mbeki Street  Mokopane 0601,015 491 3165,SJ200,SJ Ass S/C 24x500ml,356.74,1,8,
VILJOEN,0,2026-01-30,IN-431719,P1185,FRESH AND MORE (PTY)LTD (14 D - I),P.O. Box 4659,,Mokopane,2 Thabo Mbeki Rd Shop 3 Mokopane 0600,015 491 4223,SJ206,Snack a Juice Litchi S/C 42% 24x500ml,354.24,1,8,
VILJOEN,0,2026-01-30,IN-431719,P1185,FRESH AND MORE (PTY)LTD (14 D - I),P.O. Box 4659,,Mokopane,2 Thabo Mbeki Rd Shop 3 Mokopane 0600,015 491 4223,SJ208,Snack a Juice Cranb S/C 100% 24x500ml,354.24,1,8,
VILJOEN,0,2026-01-30,IN-431720,P098,LEBAMBA SUPER MARKET (EFT),(HOEDSPRUIT),P.O. Box 685,Hoedspruit,Le Bamba Complex  Hoedspruit,015 793 2634,SJ200,SJ Ass S/C 24x500ml,356.74,1,42,
VILJOEN,0,2026-01-30,IN-431720,P098,LEBAMBA SUPER MARKET (EFT),(HOEDSPRUIT),P.O. Box 685,Hoedspruit,Le Bamba Complex  Hoedspruit,015 793 2634,SJ208,Snack a Juice Cranb S/C 100% 24x500ml,354.24,1,42,
VILJOEN,0,2026-01-30,IN-431720,P098,LEBAMBA SUPER MARKET (EFT),(HOEDSPRUIT),P.O. Box 685,Hoedspruit,Le Bamba Complex  Hoedspruit,015 793 2634,SJ316,Snack a Juice Cranb 6x2lit,253.5,2,42,
VILJOEN,0,2026-01-30,IN-431721,P138,AH ERNST&SEUNS(EDMS)BPK  3 D EFT,ALLESBESTE PADSTAL,POSBUS 91,Tzaneen,Magoebaskloof Pad R71  Tzaneen,073 819 1047 CALVIN,SJ200,SJ Ass S/C 24x500ml,356.74,1,18,
VILJOEN,0,2026-01-30,IN-431722,P3530,AST AFRICA TRADING E1 (PTY)LTD 7D REP TO,P.O.BOX 962,TZANEEN,,9 BEYTEL STREET MOKOPANE,081 093 2999 jaco,SJ206,Snack a Juice Litchi S/C 42% 24x500ml,354.24,1,8,
VILJOEN,0,2026-01-30,IN-431722,P3530,AST AFRICA TRADING E1 (PTY)LTD 7D REP TO,P.O.BOX 962,TZANEEN,,9 BEYTEL STREET MOKOPANE,081 093 2999 jaco,SJ208,Snack a Juice Cranb S/C 100% 24x500ml,354.24,1,8,
VILJOEN,0,2026-01-30,IN-431723,P3371,W DU PREEZ t/a TRITEX MOTORS (3%) (CAD),P.O. Box 1697,Mokopane,,3 Beitel Street  Mokopane 0600,015 491 5523,SJ206,Snack a Juice Litchi S/C 42% 24x500ml,354.24,1,8,
VILJOEN,0,2026-01-30,IN-431723,P3371,W DU PREEZ t/a TRITEX MOTORS (3%) (CAD),P.O. Box 1697,Mokopane,,3 Beitel Street  Mokopane 0600,015 491 5523,SJ208,Snack a Juice Cranb S/C 100% 24x500ml,354.24,1,8,
VILJOEN,0,2026-01-30,IN-431724,P443,SPIF BELEGGINGS PRY LTD  MOKOPANE,POSBUS 1772,NABOOMSPRUIT,,SHOP1 MOKOPANE PLAZA MOKOPANE,083 266 2412,SJ203,Snack a Juice Mango S/C 100% 24x500ml,354.24,1,8,
VILJOEN,0,2026-01-30,IN-431724,P443,SPIF BELEGGINGS PRY LTD  MOKOPANE,POSBUS 1772,NABOOMSPRUIT,,SHOP1 MOKOPANE PLAZA MOKOPANE,083 266 2412,SJ206,Snack a Juice Litchi S/C 42% 24x500ml,354.24,1,8,
VILJOEN,0,2026-01-30,IN-431724,P443,SPIF BELEGGINGS PRY LTD  MOKOPANE,POSBUS 1772,NABOOMSPRUIT,,SHOP1 MOKOPANE PLAZA MOKOPANE,083 266 2412,SJ208,Snack a Juice Cranb S/C 100% 24x500ml,354.24,1,8,
VILJOEN,0,2026-01-30,IN-431725,P2239,TZANEEN FUEL (PTY)LTD 14 DAYS,P.O. Box 1834,Tzaneen,,C/O Hospital Road & R71  Tzaneen 0850,015 307 2490,SJ206,Snack a Juice Litchi S/C 42% 24x500ml,354.24,1,18,
VILJOEN,0,2026-01-30,IN-431726,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,B012871,Maynards Orig W/Gums Disp 24x60G NEW,258.13,1,42,
VILJOEN,0,2026-01-30,IN-431726,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,B012872,Maynards Jelly Jerseys 24x60G NEW,258.13,1,42,
VILJOEN,0,2026-01-30,IN-431726,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,B012873,Maynards Soft Fruity Gums 24x60g NEW,258.13,1,42,
VILJOEN,0,2026-01-30,IN-431726,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,B1957,Jungle Energy Bar Berries 30's,292.16,1,42,
VILJOEN,0,2026-01-30,IN-431726,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,B2341,Jungle Energy Bar Milk Chocolate 30's,292.16,1,42,
VILJOEN,0,2026-01-30,IN-431726,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,B3386,Maynards Fruit Pastilles 24x60g,258.13,1,42,
VILJOEN,0,2026-01-30,IN-431726,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,B8531,Wilson XXX Lozengers Musk 48x31.2g,187.38,1,42,
VILJOEN,0,2026-01-30,IN-431726,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,C3408,Cadbury PS Caramilk Large 40x48g,452.84,1,42,
VILJOEN,0,2026-01-30,IN-431726,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,C607316,Halls Cherry 18,169.09,1,42,
VILJOEN,0,2026-01-30,IN-431726,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,C607336,Halls Extra Strong 18,169.09,1,42,
VILJOEN,0,2026-01-30,IN-431726,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,FR070,Fruitella Strawberry 24's,196.67,1,42,
VILJOEN,0,2026-01-30,IN-431726,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,FR071,Fruitella Grape/Lemon 24's,196.67,1,42,
VILJOEN,0,2026-01-30,IN-431726,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,FR072,Fruitella Banana/Straw 24's,196.67,1,42,
VILJOEN,0,2026-01-30,IN-431726,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,MAR201,Twix Bars 25x50g,329.0,1,42,
VILJOEN,0,2026-01-30,IN-431726,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,MEN001,Mentos Rolls Spearmint 40,312.53,1,42,
VILJOEN,0,2026-01-30,IN-431726,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,MEN003,Mentos Rolls S/berry 40,312.5,1,42,
VILJOEN,0,2026-01-30,IN-431726,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,MEN004,Mentos Rolls Fruit 40,312.5,1,42,
VILJOEN,0,2026-01-30,IN-431726,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,MEN005,Mentos Rolls Grape 40,312.5,1,42,
VILJOEN,0,2026-01-30,IN-431726,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,MEN007,Mentos Rolls Rainbow 40,312.5,1,42,
VILJOEN,0,2026-01-30,IN-431726,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,MEN009,Mentos Discovery Roll 40,312.5,1,42,
VILJOEN,0,2026-01-30,IN-431726,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,MEN080,Mentos Incr Chew Stick Straw 10pc 12X47G,120.0,1,42,
VILJOEN,0,2026-01-30,IN-431726,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,MEN081,Mentos Incr Chew Stick Pas/Fruit 10pc 12X47G,120.0,1,42,
VILJOEN,0,2026-01-30,IN-431726,P1722,FOREVER RESORTS(Pty) Ltd (30D-C-I,"SWADINI, A FOREVER RESORT",Private Bag X3003,Hoedspruit,BLYDERIVIERSPOORT NATURE RESERVE R531 Hoedspruit 1380,015 795 5141,ZT209,Taki S/P Chop Stix Chilli Bag 20X60G,545.7,1,42,
VILJOEN,0,2026-01-30,IN-431727,P3388,TOTAL THE OAKS TONNEL PLAZA (CAD),P.O. Box 1766,Lulekami,1392,Total Tonnel Plaza Filling St Cnr Tzaneen Lydenburg Road Hoedspruit,084 317 4603,ZT200,Taki S/P Stokkies 20X40G,545.7,1,42,
VILJOEN,0,2026-01-30,IN-431727,P3388,TOTAL THE OAKS TONNEL PLAZA (CAD),P.O. Box 1766,Lulekami,1392,Total Tonnel Plaza Filling St Cnr Tzaneen Lydenburg Road Hoedspruit,084 317 4603,ZT201,Taki S/P Stokkies Chilli 20X40G,545.7,1,42,
VILJOEN,0,2026-01-30,IN-431727,P3388,TOTAL THE OAKS TONNEL PLAZA (CAD),P.O. Box 1766,Lulekami,1392,Total Tonnel Plaza Filling St Cnr Tzaneen Lydenburg Road Hoedspruit,084 317 4603,ZT207,Taki S/P Kudu Strips  20X40G,545.7,1,42,
VILJOEN,0,2026-01-30,IN-431727,P3388,TOTAL THE OAKS TONNEL PLAZA (CAD),P.O. Box 1766,Lulekami,1392,Total Tonnel Plaza Filling St Cnr Tzaneen Lydenburg Road Hoedspruit,084 317 4603,ZT212,Taki S/P Sliced Babmix 20X50G,545.7,1,42,
VILJOEN,0,2026-01-30,IN-431728,P3851,BESMO GARAGE CC (EFT),P.O.BOX 4624,TZANEEN,,109 ANTIMOON STREET GRAVELOTTE,015 318 4462,FR070,Fruitella Strawberry 24's,196.67,1,43,
VILJOEN,0,2026-01-30,IN-431729,P3850,FUELAND INVESTMENTS CCC (3 DAYS EFT ),P.O.BOX 801,TZANEEN,,PLAAS JAFFRAY TZANEEN,060 359 9710,JKISBR20K,E-Xhale 20JK Sour Blue Rasb 3.5% 20 000 Puff,1982.61,1,42,
VILJOEN,0,2026-01-30,IN-431729,P3850,FUELAND INVESTMENTS CCC (3 DAYS EFT ),P.O.BOX 801,TZANEEN,,PLAAS JAFFRAY TZANEEN,060 359 9710,JKSED20K,E-Xhale 20JK Straw Energy Drink 3.5% 20 000 Puff,1982.61,1,42,
VILJOEN,0,2026-01-30,IN-431729,P3850,FUELAND INVESTMENTS CCC (3 DAYS EFT ),P.O.BOX 801,TZANEEN,,PLAAS JAFFRAY TZANEEN,060 359 9710,JKSPF20K,E-Xhale 20JK Straw Passion 3.5% 20 000 Puff,1982.61,1,42,
VILJOEN,0,2026-01-30,IN-431729,P3850,FUELAND INVESTMENTS CCC (3 DAYS EFT ),P.O.BOX 801,TZANEEN,,PLAAS JAFFRAY TZANEEN,060 359 9710,MAR103,Snickers Bar Twin Pack 24x (40gx2),380.16,1,42,
VILJOEN,0,2026-01-30,IN-431729,P3850,FUELAND INVESTMENTS CCC (3 DAYS EFT ),P.O.BOX 801,TZANEEN,,PLAAS JAFFRAY TZANEEN,060 359 9710,MAR201,Twix Bars 25x50g,329.0,1,42,
VILJOEN,0,2026-01-30,IN-431729,P3850,FUELAND INVESTMENTS CCC (3 DAYS EFT ),P.O.BOX 801,TZANEEN,,PLAAS JAFFRAY TZANEEN,060 359 9710,MAR501,M & M Milk Choc 24x45g,347.28,1,42,
